出口国,进口国,税则号,商品名称,关税
US,CN,0106499010,其他濒危昆虫,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106499090,其他非濒危昆虫,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106901110,改良种用濒危蛙苗,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106901190,其他改良种用蛙苗,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106901910,其他改良种用濒危动物,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106901990,其他改良种用动物,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106909010,其他濒危动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0106909090,其他动物,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0201100010,整头及半头鲜或冷藏的野牛肉,进口关税: 20.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0201100090,其他整头及半头鲜或冷藏的牛肉,进口关税: 20.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
